,frame.encap_type,frame.len,frame.protocols,ip.hdr_len,ip.len,ip.flags.rb,ip.flags.df,p.flags.mf,ip.frag_offset,ip.ttl,ip.proto,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.len,tcp.ack,tcp.flags.res,tcp.flags.ns,tcp.flags.cwr,tcp.flags.ecn,tcp.flags.urg,tcp.flags.ack,tcp.flags.push,tcp.flags.reset,tcp.flags.syn,tcp.flags.fin,tcp.window_size,tcp.time_delta,Label
0,1,1514,eth:ethertype:ip:tcp:ssh,20,1500,0,1,0,0,64,6,192.168.5.122,192.168.2.113,22,4502,1460,1111,0,0,0,0,0,1,0,0,0,0,7504,0.000292,normal
1,1,1514,eth:ethertype:ip:tcp,20,1500,0,1,0,0,63,6,192.168.5.122,192.168.2.113,22,4502,1460,1111,0,0,0,0,0,1,0,0,0,0,7504,0.000923,normal
2,1,1514,eth:ethertype:ip:tcp:ssh,20,1500,0,1,0,0,64,6,192.168.5.122,192.168.2.113,22,4502,1460,1111,0,0,0,0,0,1,0,0,0,0,7504,0.000375,normal
3,1,1434,eth:ethertype:ip:tcp,20,1420,0,1,0,0,241,6,12.180.55.140,192.168.2.106,80,3019,1380,1135,0,0,0,0,0,1,0,0,0,0,5274,0.004846,normal
4,1,60,eth:ethertype:ip:tcp,20,40,0,1,0,0,128,6,192.168.2.113,192.168.5.122,4502,22,0,10920,0,0,0,0,0,1,0,0,0,0,64240,0.000829,normal
5,1,1514,eth:ethertype:ip:tcp:ssh,20,1500,0,1,0,0,64,6,192.168.5.122,192.168.2.113,22,4502,1460,1111,0,0,0,0,0,1,0,0,0,0,7504,0.0004,normal
6,1,1514,eth:ethertype:ip:tcp,20,1500,0,1,0,0,63,6,192.168.5.122,192.168.2.113,22,4502,1460,1111,0,0,0,0,0,1,0,0,0,0,7504,0.000804,normal
7,1,1514,eth:ethertype:ip:tcp:ssh,20,1500,0,1,0,0,64,6,192.168.5.122,192.168.2.113,22,4502,1460,1111,0,0,0,0,0,1,0,0,0,0,7504,0.000427,normal
8,1,418,eth:ethertype:ip:tcp:ssh,20,404,0,1,0,0,64,6,192.168.5.122,192.168.2.113,22,4502,364,1111,0,0,0,0,0,1,1,0,0,0,7504,0.000265,normal
9,1,1514,eth:ethertype:ip:tcp,20,1500,0,1,0,0,63,6,192.168.5.122,192.168.2.113,22,4502,1460,1111,0,0,0,0,0,1,0,0,0,0,7504,0.000538,normal
10,1,1514,eth:ethertype:ip:tcp,20,1500,0,1,0,0,63,6,192.168.5.122,192.168.2.113,22,4502,1460,1111,0,0,0,0,0,1,0,0,0,0,7504,0.001231,normal
11,1,60,eth:ethertype:ip:tcp,20,40,0,1,0,0,128,6,192.168.2.113,192.168.5.122,4502,22,0,13840,0,0,0,0,0,1,0,0,0,0,64240,5e-06,normal
12,1,1434,eth:ethertype:ip:tcp,20,1420,0,1,0,0,241,6,12.180.55.140,192.168.2.106,80,3019,1380,1135,0,0,0,0,0,1,0,0,0,0,5274,0.004858,normal
13,1,1514,eth:ethertype:ip:tcp:ssh,20,1500,0,1,0,0,64,6,192.168.5.122,192.168.2.113,22,4502,1460,1111,0,0,0,0,0,1,0,0,0,0,7504,0.001556,normal
14,1,1514,eth:ethertype:ip:tcp,20,1500,0,1,0,0,63,6,192.168.5.122,192.168.2.113,22,4502,1460,1111,0,0,0,0,0,1,0,0,0,0,7504,0.000835,normal
15,1,60,eth:ethertype:ip:tcp,20,40,0,1,0,0,128,6,192.168.2.106,12.180.55.140,3019,80,0,930797,0,0,0,0,0,1,0,0,0,0,16560,0.001242,normal
16,1,1514,eth:ethertype:ip:tcp:ssh,20,1500,0,1,0,0,64,6,192.168.5.122,192.168.2.113,22,4502,1460,1111,0,0,0,0,0,1,0,0,0,0,7504,0.000396,normal
17,1,1514,eth:ethertype:ip:tcp,20,1500,0,1,0,0,63,6,192.168.5.122,192.168.2.113,22,4502,1460,1111,0,0,0,0,0,1,0,0,0,0,7504,0.000863,normal
18,1,60,eth:ethertype:ip:tcp,20,40,0,1,0,0,128,6,192.168.2.113,192.168.5.122,4502,22,0,16760,0,0,0,0,0,1,0,0,0,0,64240,7e-06,normal
19,1,418,eth:ethertype:ip:tcp,20,404,0,1,0,0,63,6,192.168.5.122,192.168.2.113,22,4502,364,1111,0,0,0,0,0,1,1,0,0,0,7504,0.000247,normal
20,1,1514,eth:ethertype:ip:tcp:ssh,20,1500,0,1,0,0,64,6,192.168.5.122,192.168.2.113,22,4502,1460,1111,0,0,0,0,0,1,0,0,0,0,7504,0.000142,normal
