,frame.encap_type,frame.len,frame.protocols,ip.hdr_len,ip.len,ip.flags.rb,ip.flags.df,p.flags.mf,ip.frag_offset,ip.ttl,ip.proto,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.len,tcp.ack,tcp.flags.res,tcp.flags.ns,tcp.flags.cwr,tcp.flags.ecn,tcp.flags.urg,tcp.flags.ack,tcp.flags.push,tcp.flags.reset,tcp.flags.syn,tcp.flags.fin,tcp.window_size,tcp.time_delta,Label
0,1,206,eth:ethertype:ip:tcp:ssh,20,192,0,1,0,0,128,6,192.168.1.101,192.168.5.122,4175,22,152,1,0,0,0,0,0,1,1,0,0,0,16697,0.0,normal
1,1,60,eth:ethertype:ip:tcp,20,40,0,1,0,0,64,6,192.168.5.122,192.168.1.101,22,4175,0,153,0,0,0,0,0,1,0,0,0,0,7504,0.000537,normal
2,1,60,eth:ethertype:ip:tcp,20,40,0,1,0,0,63,6,192.168.5.122,192.168.1.101,22,4175,0,153,0,0,0,0,0,1,0,0,0,0,7504,0.000155,normal
3,1,774,eth:ethertype:ip:tcp:ssh,20,760,0,1,0,0,64,6,192.168.5.122,192.168.1.101,22,4175,720,153,0,0,0,0,0,1,1,0,0,0,7504,0.004483,normal
4,1,774,eth:ethertype:ip:tcp,20,760,0,1,0,0,63,6,192.168.5.122,192.168.1.101,22,4175,720,153,0,0,0,0,0,1,1,0,0,0,7504,0.001321,normal
5,1,1434,eth:ethertype:ip:tcp,20,1420,0,1,0,0,241,6,12.180.55.140,192.168.3.115,80,3816,1380,1,0,0,0,0,0,1,0,0,0,0,5189,0.0,normal
6,1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,128,6,192.168.4.121,192.168.5.122,51061,22,0,0,0,0,0,0,0,0,0,0,1,0,8192,0.0,normal
7,1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,64,6,192.168.5.122,192.168.4.121,22,51061,0,1,0,0,0,0,0,1,0,0,1,0,5840,0.000241,normal
8,1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,63,6,192.168.5.122,192.168.4.121,22,51061,0,1,0,0,0,0,0,1,0,0,1,0,5840,0.000132,normal
9,1,60,eth:ethertype:ip:tcp,20,40,0,1,0,0,128,6,192.168.4.121,192.168.5.122,51061,22,0,1,0,0,0,0,0,1,0,0,0,0,17520,0.000245,normal
